,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5,b6,z1,z2,z3,z4,z5,z6
98,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
101,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
104,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
107,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
108,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
109,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
110,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
112,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
114,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
118,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
121,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
122,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
124,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
127,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
129,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
131,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
133,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
135,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
136,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
138,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
139,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
146,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
147,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
148,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
150,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
151,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
155,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
156,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
157,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
158,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
159,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
160,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
163,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
164,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
166,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
167,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
168,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
169,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
171,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
175,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
176,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
178,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
180,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1
181,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
182,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
184,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
185,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
186,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
189,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
190,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
192,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
193,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
194,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
195,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
196,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
197,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
199,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
200,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
201,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
202,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
204,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
209,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
212,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
213,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
214,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
215,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
216,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
217,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
220,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
223,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
225,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
226,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
228,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
230,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
231,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
233,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
234,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
235,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
236,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
237,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
238,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
239,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
240,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
244,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
245,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
246,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
249,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
250,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
252,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
253,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
254,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
256,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
258,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
259,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
260,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
261,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
263,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
266,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
267,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
269,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
270,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
271,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
272,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
273,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
274,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
275,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
276,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
277,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
278,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
279,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
280,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
281,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
282,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
283,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
284,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
285,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
286,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
287,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
288,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
290,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
292,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
293,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
295,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
296,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
297,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
298,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
302,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
305,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
307,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
310,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
311,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
313,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
314,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
316,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
321,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
322,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
323,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
324,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
325,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
328,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
329,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
330,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
331,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
334,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
337,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
339,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
340,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
341,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
343,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
344,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
345,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
347,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
348,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
350,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
351,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0
353,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
354,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
356,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
358,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
359,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
360,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
361,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
363,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
